일련번호,지역,업력,대출년도,대출금액(백만원),업종
356,경기,15년미만,2021,100,
357,경기,15년미만,2021,100,
358,충북,20년이상,2021,100,
359,강원,15년미만,2021,200,
360,전북,15년미만,2021,200,
361,인천,15년미만,2021,300,
362,부산,10년미만,2021,50,
363,경북,10년미만,2021,200,
364,경기,7년미만,2021,100,
365,부산,15년미만,2021,200,
366,전남,20년이상,2021,200,
367,경남,20년미만,2021,200,
368,대구,10년미만,2021,100,
369,경기,15년미만,2021,50,
370,울산,5년미만,2021,100,
371,경북,20년이상,2021,80,
372,인천,10년미만,2021,100,
373,경북,10년미만,2021,150,
374,울산,20년미만,2021,100,
375,경기,10년미만,2021,200,
376,경기,15년미만,2021,100,
377,충북,10년미만,2021,200,
378,인천,20년이상,2021,100,
379,경기,7년미만,2021,100,
380,경기,7년미만,2021,100,
381,대구,7년미만,2021,50,
382,서울,5년미만,2021,150,
383,서울,15년미만,2021,300,
384,부산,20년이상,2021,200,
385,경기,10년미만,2021,100,
386,경기,5년미만,2021,100,
387,경기,15년미만,2021,100,
388,경기,15년미만,2021,80,
389,충북,10년미만,2021,300,
390,경기,15년미만,2021,200,
391,충남,20년미만,2021,200,
392,경기,15년미만,2021,100,
393,경기,20년미만,2021,200,
394,경기,15년미만,2021,100,
395,경북,10년미만,2021,100,
396,전북,5년미만,2021,100,
397,광주,10년미만,2021,150,
398,전북,10년미만,2021,200,
399,광주,15년미만,2021,50,
400,경기,20년이상,2021,300,
401,경기,20년이상,2021,100,
402,충북,3년미만,2021,200,
403,경남,15년미만,2021,100,
404,경북,7년미만,2021,30,
405,대구,20년이상,2021,150,
406,대구,7년미만,2021,100,
407,강원,15년미만,2021,150,
408,부산,10년미만,2021,100,
409,경기,20년미만,2021,200,
410,부산,3년미만,2021,100,
411,경북,20년이상,2021,300,
412,충남,10년미만,2021,200,
413,충남,5년미만,2021,100,
414,경북,10년미만,2021,200,
415,경남,3년미만,2021,100,
416,전북,5년미만,2021,200,
417,부산,20년이상,2021,50,
418,광주,10년미만,2021,50,
419,경기,5년미만,2021,200,
420,충남,5년미만,2021,100,
421,인천,7년미만,2021,50,
422,대구,20년미만,2021,200,
423,충북,5년미만,2021,200,
424,경북,15년미만,2021,400,
425,충남,15년미만,2021,300,
426,경남,15년미만,2021,300,
427,경북,20년미만,2021,500,
428,전남,20년미만,2021,100,
429,대전,10년미만,2021,50,
430,충남,10년미만,2021,100,
431,충북,10년미만,2021,100,
432,인천,3년미만,2021,50,
433,서울,3년미만,2021,100,
434,전북,5년미만,2021,100,
435,경남,15년미만,2021,100,
436,전북,10년미만,2021,50,
437,경남,20년미만,2021,200,
438,광주,15년미만,2021,80,
439,광주,20년미만,2021,150,
440,경기,10년미만,2021,100,
441,경기,10년미만,2021,80,
442,인천,20년미만,2021,50,
443,서울,15년미만,2021,500,
444,광주,20년이상,2021,200,
445,경기,10년미만,2021,150,
446,경기,15년미만,2021,150,
447,인천,5년미만,2021,100,
448,부산,10년미만,2021,150,
449,전북,20년미만,2021,200,
450,경남,20년이상,2021,50,
451,충북,15년미만,2021,100,
452,대전,20년이상,2021,100,
453,경기,20년이상,2021,100,
454,울산,15년미만,2021,200,
455,부산,5년미만,2021,50,
456,경기,20년미만,2021,200,
457,대구,20년이상,2021,200,
458,충남,20년이상,2021,100,
459,경기,10년미만,2021,50,
460,부산,20년미만,2021,200,
461,충남,15년미만,2021,150,
462,대구,20년이상,2021,100,
463,경기,20년미만,2021,100,
464,경기,15년미만,2021,500,
465,대구,10년미만,2021,100,
466,경북,15년미만,2021,200,
467,경기,10년미만,2021,100,
468,경북,20년미만,2021,100,
469,인천,1년미만,2021,50,
470,충북,3년미만,2021,100,
471,경남,10년미만,2021,100,
472,경기,20년미만,2021,80,
473,경북,3년미만,2021,70,
474,경기,10년미만,2021,50,
475,경기,20년미만,2021,50,
476,경남,20년미만,2021,200,
477,전남,15년미만,2021,200,
478,경기,10년미만,2021,100,
479,인천,20년미만,2021,100,
480,인천,10년미만,2021,100,
481,경기,5년미만,2021,100,
482,서울,20년이상,2021,300,
483,경기,10년미만,2021,200,
484,서울,15년미만,2021,200,
485,충남,10년미만,2021,100,
486,인천,3년미만,2021,30,
487,경기,10년미만,2021,100,
488,경기,5년미만,2021,50,
489,경기,15년미만,2021,100,
490,경기,20년이상,2021,100,
491,강원,10년미만,2021,200,
492,경남,10년미만,2021,100,
493,광주,20년미만,2021,1000,
494,경북,7년미만,2021,100,
495,경기,20년이상,2021,80,
496,인천,5년미만,2021,30,
497,광주,20년미만,2021,500,
498,부산,10년미만,2021,250,
499,경기,3년미만,2021,50,
500,경기,7년미만,2021,200,
501,대구,15년미만,2021,100,
502,충남,10년미만,2021,100,
503,대구,20년미만,2021,50,
504,경기,10년미만,2021,50,
505,울산,7년미만,2021,200,
506,전북,20년이상,2021,50,
507,부산,10년미만,2021,50,
508,경남,15년미만,2021,70,
509,경남,10년미만,2021,200,
510,서울,3년미만,2021,100,
511,경기,15년미만,2021,100,
512,경기,20년미만,2021,50,
513,경북,15년미만,2021,220,
514,경기,20년이상,2021,100,
515,대전,20년미만,2021,200,
516,충남,10년미만,2021,150,
517,충북,15년미만,2021,150,
518,경북,15년미만,2021,50,
519,충북,15년미만,2021,70,
520,경기,20년미만,2021,200,
521,서울,20년이상,2021,200,
522,강원,10년미만,2021,100,
523,대전,5년미만,2021,50,
524,강원,3년미만,2021,200,
525,제주,5년미만,2021,300,
526,경기,20년미만,2021,200,
527,대구,20년미만,2021,100,
528,대구,20년이상,2021,200,
529,경기,15년미만,2021,200,
530,경남,10년미만,2021,100,
531,충남,5년미만,2021,50,
